millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1991427,25.08,71075,6.42,25.13,2895.91,11.36,71431.43,2853.22,86.914,-935.059,-92.285,1.763,21.603,1.420,-11.400,-51.150,30.150,0,0,0,212,80,4.00,0.08,0.01,0,
1992815,25.07,70988,6.37,25.22,2905.57,11.35,71337.46,2863.61,3.906,-1039.062,-104.004,3.771,-61.565,-7.328,-16.200,-50.700,23.550,0,0,0,212,80,4.02,0.08,0.01,0,
1994204,25.06,70904,6.31,25.16,2914.79,11.34,71275.75,2870.44,226.562,-1086.914,-81.055,-11.168,156.664,0.901,-20.550,-47.550,20.850,0,0,0,215,80,4.01,0.08,0.01,0,
1995594,25.04,70819,6.26,25.07,2924.36,11.32,71194.92,2879.39,148.438,-1038.086,133.301,13.237,144.870,-13.229,23.100,-47.550,41.100,0,0,0,213,81,4.06,0.08,0.01,0,
1996980,25.04,70731,6.21,25.07,2934.16,11.32,71098.45,2890.09,52.246,-966.309,-76.172,-0.786,-75.947,-10.603,-8.700,-47.100,2.700,0,0,0,213,81,4.05,0.08,0.01,0,
1998366,25.03,70644,6.16,25.07,2943.86,11.26,71001.60,2900.84,133.301,-1028.320,-47.852,-7.420,11.687,-6.137,7.950,-45.600,-6.300,0,0,0,213,80,4.02,0.08,0.01,0,
1999751,25.01,70558,6.12,25.02,2953.34,11.22,70937.14,2908.00,-14.160,-950.195,66.406,-6.878,-102.160,-4.695,9.900,-44.550,-6.900,0,0,0,213,80,4.02,0.08,0.01,0,
2001148,25.01,70472,6.10,25.00,2962.84,11.20,70846.64,2918.06,-146.973,-996.582,415.527,-6.458,-250.137,5.527,-2.550,-41.550,52.200,0,0,0,213,80,4.01,0.08,0.01,0,
2002535,25.00,70391,6.08,24.98,2971.89,11.19,70752.95,2928.48,-30.762,-1187.988,144.531,-28.198,204.427,-1.382,-17.700,-49.200,26.400,0,0,0,213,80,4.01,0.08,0.01,0,
2003921,24.99,70310,6.06,25.05,2981.07,11.16,70660.63,2938.77,-131.836,-876.953,450.195,-19.252,-182.977,-14.122,15.600,-53.550,35.700,0,0,0,213,80,4.00,0.08,0.01,0,
2005311,24.98,70227,6.04,25.01,2990.14,11.15,70599.73,2945.56,-494.629,-997.070,329.102,14.328,21.527,-27.137,-8.400,-51.900,35.100,0,0,0,209,78,3.92,0.07,0.01,0,
2006697,24.97,70146,6.02,25.02,2999.22,11.10,70507.32,2955.88,-349.121,-1177.734,169.434,1.313,128.084,1.031,7.200,-45.600,-5.850,0,0,0,211,78,3.91,0.07,0.01,0,
2008084,24.96,70066,6.01,24.92,3008.65,11.07,70415.63,2966.12,354.004,-917.480,189.941,-23.092,250.130,-10.626,25.350,-47.550,6.300,0,0,0,218,78,3.91,0.07,0.01,0,
2009475,24.95,69976,6.00,25.05,3018.65,11.05,70321.36,2976.66,130.859,-918.457,217.773,-11.679,153.252,2.298,-18.750,-38.100,-5.400,0,0,0,212,78,3.90,0.07,0.01,0,
2010861,24.94,69892,5.98,24.96,3027.98,11.01,70260.24,2983.51,162.598,-980.957,188.965,1.275,52.725,-10.244,25.800,-48.450,13.350,0,0,0,213,76,3.82,0.07,0.01,0,
2012248,24.93,69809,5.98,25.07,3036.98,10.97,70168.53,2993.78,220.703,-977.539,383.789,-8.008,97.183,-12.450,-5.550,-52.650,11.850,0,0,0,214,76,3.81,0.07,0.01,0,
2013636,24.92,69733,5.97,24.98,3045.66,10.90,70082.76,3003.40,-25.391,-1023.437,-0.977,-8.527,208.695,1.504,6.450,-48.600,-2.250,0,0,0,212,76,3.81,0.07,0.01,0,
2015023,24.91,69654,5.95,24.95,3054.57,10.86,70023.37,3010.07,55.176,-998.047,-103.516,12.779,201.237,-5.710,34.800,-42.300,32.250,0,0,0,212,76,3.80,0.07,0.01,0,
2016409,24.89,69573,5.94,25.04,3063.82,10.79,69934.24,3020.08,-257.812,-1042.480,-62.012,12.130,250.130,-11.649,-6.600,-53.400,13.350,0,0,0,211,73,3.67,0.07,0.01,0,
2017800,24.88,69496,5.93,24.92,3072.41,10.72,69850.22,3029.53,-465.820,-894.531,393.555,9.450,250.130,5.595,0.900,-49.350,44.400,0,0,0,210,73,3.66,0.07,0.01,0,
2019185,24.87,69417,5.93,24.98,3081.57,10.65,69772.33,3038.30,-198.730,-959.961,237.305,-0.664,144.053,-17.618,25.050,-50.400,15.600,0,0,0,212,73,3.66,0.07,0.01,0,
2020568,24.86,69332,5.92,25.01,3091.30,10.62,69708.95,3045.44,-181.641,-912.598,324.219,15.733,250.130,-11.366,-7.500,-51.000,41.850,0,0,0,213,73,3.66,0.07,0.01,0,
2021957,24.85,69245,5.92,25.01,3101.16,10.52,69622.46,3055.19,207.031,-997.070,306.152,-0.603,-175.397,-11.443,-7.500,-41.400,52.350,0,0,0,211,73,3.65,0.07,0.01,0,
2023342,24.84,69158,5.91,25.02,3110.91,10.46,69528.11,3065.84,225.098,-964.844,97.656,-5.099,197.672,-9.374,7.200,-41.700,52.800,0,0,0,212,73,3.67,0.07,0.01,0,
2024726,24.83,69072,5.91,25.11,3120.67,10.39,69435.28,3076.33,-251.953,-1143.066,400.391,-14.649,250.130,-14.061,34.350,-43.500,26.850,0,0,0,212,75,3.76,0.07,0.01,0,
2026116,24.82,68988,5.91,25.04,3130.22,10.35,69372.19,3083.47,-37.598,-854.492,495.117,-19.855,-250.137,22.947,-3.450,-52.050,35.400,0,0,0,211,75,3.76,0.07,0.01,0,
2027502,24.81,68904,5.89,25.04,3139.77,10.29,69276.61,3094.29,137.207,-929.199,39.551,9.366,-85.924,13.137,10.500,-54.750,21.600,0,0,0,213,75,3.75,0.07,0.01,0,
2028890,24.80,68821,5.87,25.02,3149.11,10.21,69185.21,3104.65,-241.211,-937.500,479.492,20.427,-250.137,10.496,-7.350,-48.900,39.150,0,0,0,211,72,3.62,0.07,0.01,0,
2030281,24.79,68739,5.86,25.04,3158.34,10.15,69093.28,3115.08,-457.519,-1064.941,361.328,3.832,-250.137,13.916,-11.550,-49.350,37.500,0,0,0,212,72,3.61,0.07,0.01,0,
2031669,24.78,68658,5.85,25.02,3167.93,10.13,69032.82,3121.94,145.508,-1090.332,-41.016,-12.092,197.076,11.863,10.800,-39.450,-10.650,0,0,0,213,72,3.61,0.07,0.01,0,
