millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
123988, 0,28.27388,27600,25.61705,111.77100,705.25195,27.36152,27607,27.82613,140.53200,704.54120,-29.29687, 4.88281, 1032.71480, 0.27481, 3.50382, -1.17557, 26.55000, -14.10000, 60.90000, 33.06158, 8,3.88403,0.07324,0.02589,0,20, 
125728, 1,28.27483,27601,25.63908,111.32400,705.16479,27.36215,27607,27.84866,140.41299,704.62842,-13.67187, 8.30078, 1026.85550, -1.86260, 5.70229, -2.87786, 28.50000, -14.85000, 62.10000, 33.25327, 8,3.82998,0.07222,0.02553,0,20, 
127471, 1,28.27515,27600,25.65009,112.07100,705.16479,27.36026,27607,27.85974,141.60899,704.62842,-23.92578, 0.00000, 1039.55080, -0.82443, 2.56489, 0.40458, 27.15000, -14.25000, 61.20000, 33.34912, 9,4.24973,0.08014,0.02671,0,20, 
129211, 0,28.27041,27600,25.60581,112.52500,705.25195,27.35713,27607,27.82578,141.24800,704.62842,-9.76563, 10.74219, 1033.69140, 1.25954, -0.03817, -0.63359, 25.05000, -15.15000, 61.35000, 32.91781, 10,4.65802,0.08783,0.02778,0,20, 
130954, 0,28.26567,27599,25.59447,112.67700,705.16479,27.35525,27607,27.78631,141.60899,704.54120,-10.74219, -4.88281, 1021.48430, 0.58779, 0.17557, 3.80153, 25.65000, -16.50000, 61.50000, 33.10950, 10,4.59598,0.08666,0.02741,0,20, 
132695, 0,28.25935,27601,25.56655,112.60100,705.07495,27.34897,27607,27.78019,141.97200,704.54120,-21.48437, -3.41797, 1035.64450, 0.30534, 0.57252, 1.60305, 27.00000, -14.85000, 60.30000, 33.15742, 10,4.53552,0.08552,0.02705,0,20, 
134434, 1,28.25240,27602,25.53859,112.44900,704.98511,27.34082,27607,27.74583,142.70300,704.54120,-6.34766, -1.95312, 1036.62110, 1.35878, 0.29008, 0.72519, 26.25000, -15.15000, 61.35000, 32.91781, 10,4.47654,0.08441,0.02669,0,20, 
136177, 0,28.24734,27603,25.53272,112.75300,704.89526,27.33329,27607,27.72277,142.21500,704.54120,-21.48437, -3.41797, 1027.34380, 2.16794, 0.11450, -0.43511, 26.10000, -15.45000, 60.75000, 33.10950, 10,4.41917,0.08333,0.02635,0,20, 
137917, 0,28.24544,27604,25.54355,112.37300,704.89526,27.32702,27607,27.72227,143.56599,704.62842,-20.50781, -5.85937, 1028.80860, -0.72519, -1.03053, -0.83206, 27.00000, -15.90000, 61.65000, 32.96574, 10,4.36322,0.08228,0.02602,0,20, 
139658, 0,28.24292,27603,25.53787,113.52000,704.98511,27.32106,27607,27.70495,143.69000,704.62842,-8.30078, -9.76563, 1016.60150, -2.11450, 2.43511, -2.11450, 26.10000, -13.50000, 60.75000, 33.15742, 10,4.30870,0.08125,0.02569,0,20, 
141398, 0,28.23913,27602,25.52661,113.44300,704.98511,27.31479,27607,27.68200,143.44200,704.54120,-15.62500, 4.39453, 1032.71480, -1.82443, 3.64122, -2.60305, 26.10000, -14.25000, 60.45000, 33.10950, 10,4.25544,0.08024,0.02538,0,20, 
143140, 0,28.23502,27602,25.47694,113.67500,705.07495,27.30758,27608,27.64775,144.06400,704.54120,-13.18359, -14.64844, 1024.41410, -2.13740, 3.96947, -1.12214, 26.55000, -15.15000, 62.40000, 33.25327, 10,4.20356,0.07926,0.02507,0,20, 
144881, 2,28.22997,27603,25.47107,114.21900,704.98511,27.29879,27607,27.63021,145.06900,704.54120,-12.69531, 17.08984, 1035.15630, -0.02290, -0.17557, -0.63359, 25.05000, -16.35000, 61.35000, 33.15742, 10,4.15285,0.07831,0.02476,0,20, 
146624, 0,28.22364,27603,25.44866,114.06300,704.98511,27.29126,27606,27.61839,144.31400,704.62842,-4.39453, -4.88281, 1035.64450, -0.03817, 1.29008, 1.14504, 25.65000, -15.00000, 61.20000, 32.96574, 10,4.10343,0.07738,0.02447,0,20, 
148364, 1,28.22080,27603,25.41007,113.90700,705.07495,27.28531,27607,27.58987,144.06400,704.71820,-19.53125, -4.39453, 1033.69140, 1.19084, -0.29008, -1.07634, 28.95000, -15.75000, 62.25000, 33.10950, 10,4.05510,0.07647,0.02418,0,20, 
150107, 2,28.21733,27602,25.42626,113.67500,704.98511,27.27684,27606,27.62284,143.44200,704.62842,-12.20703, -4.88281, 1027.83200, 1.22901, -0.13740, 1.18321, 27.30000, -15.15000, 59.85000, 33.15742, 10,4.00799,0.07558,0.02390,0,20, 
151846, 0,28.21038,27602,25.43670,113.52000,704.98511,27.26774,27606,27.62211,144.31400,704.62842,-9.27734, 10.25391, 1032.22660, 0.02290, 0.10687, 2.35115, 26.55000, -15.60000, 61.65000, 32.91781, 10,3.96191,0.07471,0.02362,0,20, 
153589, 0,28.20437,27603,25.44721,113.13500,705.07495,27.25896,27606,27.62140,143.93900,704.62842,-2.44141, 4.88281, 1013.67180, 1.69466, -0.13740, -0.60305, 30.15000, -12.00000, 64.05000, 33.10950, 10,3.91683,0.07386,0.02336,0,20, 
155329, 0,28.19774,27603,25.46315,112.90500,705.07495,27.25426,27607,27.64906,143.44200,704.54120,0.97656, -0.97656, 1026.36720, -2.67939, 2.72519, -2.14504, 28.05000, -11.70000, 64.05000, 33.25327, 10,3.87284,0.07303,0.02309,0,20, 
157070, 0,28.19205,27603,25.47917,112.98200,705.07495,27.25175,27607,27.66569,144.18900,704.62842,-9.76563, -2.92969, 1033.20310, -2.48092, 2.81679, -1.66412, 28.80000, -12.15000, 63.45000, 32.96574, 10,3.82975,0.07222,0.02284,0,20, 
158813, 0,28.18604,27601,25.49516,113.36600,705.07495,27.24673,27607,27.69895,143.69000,704.71820,-13.67187, -2.92969, 1029.29690, -1.12977, 3.45802, -0.85496, 28.65000, -12.30000, 64.05000, 33.10950, 10,3.78771,0.07142,0.02259,0,20, 
160552, 0,28.18194,27602,25.48937,113.05800,704.98511,27.24233,27607,27.70982,142.94901,704.62842,-6.83594, -0.48828, 1037.10940, 0.77863, -0.41221, -2.56489, 28.05000, -13.35000, 63.90000, 33.15742, 10,3.74649,0.07065,0.02234,0,20, 
162295, 1,28.17720,27602,25.49998,113.52000,704.89526,27.23356,27607,27.72034,143.69000,704.62842,-2.92969, -7.81250, 1025.87890, -1.62595, 3.22137, -1.93893, 27.75000, -12.90000, 64.95000, 32.96574, 10,3.70620,0.06989,0.02210,0,20, 
164035, 0,28.16930,27603,25.51584,112.14700,704.89526,27.22634,27607,27.74220,143.19501,704.54120,-2.92969, 8.78906, 1039.55080, 0.81679, 0.36641, -2.22901, 28.95000, -13.80000, 65.10001, 33.15742, 10,3.66674,0.06914,0.02186,0,20, 
165778, 2,28.15698,27603,25.53135,113.67500,704.98511,27.22038,27607,27.76417,142.21500,704.54120,-4.88281, 6.83594, 1033.20310, -2.33588, 1.51908, -0.80153, 28.65000, -13.05000, 64.35001, 33.10950, 10,3.62814,0.06841,0.02163,0,20, 
167518, 0,28.14655,27602,25.56897,112.67700,705.07495,27.21568,27608,27.79748,142.33701,704.54120,-8.78906, 0.48828, 1032.22660, 1.46565, 2.82443, -1.25954, 28.65000, -13.05000, 63.00000, 32.96574, 10,3.59032,0.06770,0.02141,0,20, 
169261, 0,28.13897,27602,25.60680,112.60100,705.07495,27.20878,27607,27.81938,142.94901,704.54120,-12.69531, 1.95312, 1013.18350, -0.22137, 0.35115, -0.67176, 28.05000, -13.35000, 62.10000, 32.82197, 10,3.55337,0.06700,0.02119,0,20, 
