millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
9652579,15.18,846,6.77,27.94,26498.48,992.676,31.738,20.020,22.053,3.183,-1.565,-50.700,-11.700,28.200,0,788,39.45,0.74,0.03,0,20,
9654163,15.19,845,6.78,27.52,26502.49,997.070,19.043,20.996,19.924,5.664,-1.313,-47.850,-3.150,37.500,0,785,39.45,0.74,0.03,0,20,
9655747,15.20,844,6.77,27.69,26506.51,994.141,37.109,42.480,8.748,2.779,0.229,-48.450,6.000,39.450,0,786,39.44,0.74,0.03,0,20,
9657335,15.21,844,6.77,27.74,26506.51,1001.465,37.598,28.809,26.145,1.107,-0.618,-47.850,16.200,37.200,55,786,39.39,0.74,0.03,0,20,
9658919,15.22,843,6.76,27.80,26510.53,985.840,31.738,28.320,19.015,1.473,-1.748,-49.800,26.100,23.400,1,789,39.49,0.74,0.03,0,20,
9660504,15.24,843,6.77,27.76,26510.53,980.957,38.086,26.367,10.290,0.794,-1.382,-48.300,27.300,14.700,81,783,39.34,0.74,0.03,1,20,
9662088,15.25,841,6.77,27.50,26518.58,986.328,29.785,23.926,-3.786,2.809,-2.198,-48.750,28.200,14.100,48,783,39.28,0.74,0.03,1,20,
9663674,15.26,840,6.76,27.63,26522.61,985.351,35.156,27.344,12.740,3.084,-0.145,-48.750,29.400,13.350,5,783,39.23,0.74,0.03,0,20,
9665258,15.27,839,6.77,27.58,26526.65,981.934,31.250,16.602,16.389,0.649,2.702,-49.050,26.100,3.450,55,783,39.18,0.74,0.03,0,20,
9666840,15.28,838,6.77,27.54,26530.69,984.375,23.926,20.020,-7.947,1.992,-3.153,-49.500,22.800,0.600,39,778,39.07,0.74,0.03,0,20,
9668424,15.29,837,6.77,27.69,26534.74,1007.324,23.437,20.020,-21.702,0.122,-3.198,-49.500,26.250,10.050,76,778,39.02,0.74,0.03,0,20,
9670012,15.30,836,6.77,27.47,26534.74,1001.953,26.855,29.297,-14.405,1.542,0.015,-49.200,28.650,19.950,2,778,38.97,0.73,0.03,1,20,
9671597,15.31,836,6.77,27.54,26530.69,1004.394,33.691,20.996,-24.656,4.145,-0.275,-47.100,22.650,34.200,0,780,39.02,0.74,0.03,0,20,
9673181,15.32,837,6.75,27.50,26534.74,1004.394,22.461,24.414,-25.435,0.481,-1.527,-48.450,9.150,39.450,1,779,39.11,0.74,0.03,0,20,
9674765,15.33,836,6.76,27.52,26538.78,996.582,25.879,21.973,-15.763,-0.855,-1.809,-49.800,-5.100,36.000,0,779,39.06,0.74,0.03,1,20,
9676361,15.34,835,6.76,27.36,26542.83,1007.812,38.086,16.113,-0.847,2.336,1.504,-49.350,-8.100,32.100,0,779,39.01,0.74,0.03,0,20,
9677945,15.35,834,6.76,27.52,26546.89,1019.531,35.645,28.809,-2.573,3.160,-0.481,-49.800,-10.500,32.400,0,780,39.01,0.74,0.03,0,20,
9679529,15.37,834,6.77,27.50,26546.89,1003.418,26.367,28.809,-23.450,3.641,2.282,-48.600,-15.450,26.700,0,779,39.10,0.74,0.03,0,20,
9681114,15.38,833,6.76,27.29,26550.95,993.652,26.367,17.090,-15.183,1.710,-4.351,-50.850,-16.950,11.700,0,779,39.05,0.74,0.03,1,20,
9682702,15.39,833,6.76,27.41,26550.95,987.793,20.508,26.367,4.802,1.962,-1.595,-50.400,-14.700,9.900,0,779,39.00,0.74,0.03,1,20,
9684286,15.40,831,6.75,27.36,26555.01,985.840,28.809,32.715,-11.924,3.053,-2.374,-50.100,-15.450,11.700,0,781,39.24,0.74,0.03,0,20,
9685870,15.42,831,6.77,27.36,26559.08,969.726,32.715,28.320,-22.061,-1.786,1.656,-49.800,-9.300,-0.150,0,782,39.24,0.74,0.03,0,20,
9687454,15.43,830,6.83,27.09,26563.15,988.281,28.320,20.996,6.389,1.099,0.786,-49.350,-5.850,-5.250,0,782,39.19,0.74,0.03,0,20,
9689040,15.44,829,6.82,27.34,26567.23,983.398,30.762,5.859,16.321,4.634,-4.519,-51.000,-13.350,1.800,0,782,39.14,0.74,0.03,0,20,
9690625,15.45,828,6.76,27.31,26571.31,993.164,28.320,19.043,11.282,1.847,3.863,-50.100,-17.250,9.900,0,776,38.98,0.74,0.03,0,20,
9692209,15.46,828,6.76,27.31,26567.23,1002.441,31.738,29.297,0.916,-0.053,0.527,-50.850,-15.450,13.200,0,777,38.98,0.73,0.03,0,20,
